state_name,candidates,political_party,votes,percent_diff%
Abia,Atiku Abubakar ,PDP,219698,67.96
Abia,Muhammadu Buhari ,APC,85058,26.31
Abia,Gbor John Wilson Terwase ,APGA,9638,2.98
Abia,Felix Nicolas ,PCP,1489,0.46
Abia,Kingsley Moghalu ,YPP,720,0.22
Adamawa,Atiku Abubakar ,PDP,410266,50.55
Adamawa,Muhammadu Buhari ,APC,378078,46.59
Adamawa,Obadiah Mailafia ,ADC,3989,0.49
Adamawa,Felix Nicolas ,PCP,3670,0.45
Adamawa,Omoyele Sowore ,AAC,282,0.03
Akwa Ibom,Atiku Abubakar ,PDP,395832,68.39
Akwa Ibom,Muhammadu Buhari ,APC,175429,30.31
Akwa Ibom,Felix Nicolas ,PCP,1902,0.33
Akwa Ibom,Obadiah Mailafia ,ADC,230,0.04
Akwa Ibom,Omoyele Sowore ,AAC,222,0.04
Anambra,Atiku Abubakar ,PDP,524738,86.63
Anambra,Muhammadu Buhari ,APC,33298,5.5
Anambra,Gbor John Wilson Terwase ,APGA,30034,4.96
Anambra,Felix Nicolas ,PCP,4374,0.72
Anambra,Kingsley Moghalu ,YPP,4091,0.68
Bauchi,Muhammadu Buhari ,APC,798428,77.95
Bauchi,Atiku Abubakar ,PDP,209313,20.43
Bauchi,Felix Nicolas ,PCP,2104,0.21
Bauchi,Obadiah Mailafia ,ADC,296,0.03
Bauchi,Omoyele Sowore ,AAC,183,0.02
Bayelsa,Atiku Abubakar ,PDP,197933,61.51
Bayelsa,Muhammadu Buhari ,APC,118821,36.93
Bayelsa,Felix Nicolas ,PCP,1584,0.49
Bayelsa,Obadiah Mailafia ,ADC,1078,0.34
Bayelsa,Omoyele Sowore ,AAC,126,0.04
Benue,Atiku Abubakar ,PDP,356817,48.95
Benue,Muhammadu Buhari ,APC,347668,47.7
Benue,Gbor John Wilson Terwase ,APGA,4582,0.63
Benue,Felix Nicolas ,PCP,2793,0.38
Benue,Kingsley Moghalu ,YPP,557,0.08
Borno,Muhammadu Buhari ,APC,836496,90.94
Borno,Atiku Abubakar ,PDP,71788,7.8
Borno,Felix Nicolas ,PCP,1563,0.17
Borno,Obadiah Mailafia ,ADC,301,0.03
Borno,Omoyele Sowore ,AAC,269,0.03
Cross River,Atiku Abubakar ,PDP,295737,70.1
Cross River,Muhammadu Buhari ,APC,117302,27.8
Cross River,Felix Nicolas ,PCP,2033,0.48
Cross River,Obadiah Mailafia ,ADC,326,0.08
Cross River,Omoyele Sowore ,AAC,242,0.06
