states,accredited_votes,valid_votes
Abia,361561,323291
Adamawa,874920,811534
Akwa Ibom,695677,578775
Anambra,675273,605734
Bauchi,1075330,1024307
Bayelsa,344237,321767
Benue,786069,728912
Borno,987290,919786
Cross River,461033,421901
Delta,891647,829762
Ebonyi,391747,359131
Edo,604915,560711
Ekiti,395741,381132
Enugu,452765,421014
FCT,467784,423951
Gombe,604240,554203
Imo,585741,511586
Jigawa,1171801,1106244
Kaduna,1757868,1663603
Kano,2006410,1891134
Katsina,1628865,1555473
Kebbi,835238,756605
Kogi,570773,521016
Kwara,489482,459676
Lagos,1196490,1089567
Nasarawa,613720,580778
Niger,911964,851937
Ogun,613397,564256
Ondo,598586,555994
Osun,732984,714682
Oyo,905007,836531
Plateau,1074042,1034853
Rivers,678167,642165
Sokoto,950107,871891
Taraba,756111,712877
Yobe,601059,559365
Zamfara,616168,578439
